miRNA	Metabolite	coef_Endo2
hsa-miR-628-3p	12-HETE	0.742263698
hsa-miR-652-3p	12-HETE	0.65884652
hsa-miR-664a-5p	12-HETE	0.708866094
hsa-miR-744-5p	12-HETE	0.544110367
hsa-let-7e-5p	thiamine	-0.127479891
hsa-let-7e-5p	N1-methyl-2-pyridone-5-carboxamide	-0.104271475
hsa-let-7b-5p	13-docosenoate	-0.17647398
hsa-miR-100-5p	13-docosenoate	0.141748796
hsa-miR-107	13-docosenoate	-0.163870375
hsa-miR-126-3p	13-docosenoate	-0.287051266
hsa-let-7e-5p	p-hydroxyphenylacetate	-0.001482014
hsa-miR-148b-3p	13-docosenoate	-0.269220884
hsa-miR-15b-3p	13-docosenoate	-0.395978176
hsa-miR-181d-5p	13-docosenoate	0.491937297
hsa-miR-27a-5p	13-docosenoate	0.701357731
hsa-miR-27b-3p	13-docosenoate	-0.114506905
hsa-miR-30c-5p	13-docosenoate	-0.422329306
hsa-miR-30e-5p	13-docosenoate	-0.180731161
hsa-miR-409-3p	13-docosenoate	-0.498578823
hsa-miR-423-5p	13-docosenoate	-0.247764462
hsa-miR-5010-5p	13-docosenoate	-0.492404535
hsa-miR-505-3p	13-docosenoate	-0.485977957
hsa-miR-577	13-docosenoate	-0.664888522
hsa-miR-584-5p	13-docosenoate	-0.407368409
hsa-miR-7706	13-docosenoate	-0.379784754
hsa-miR-363-3p	13-HODE	0.441087166
hsa-miR-411-5p	13-HODE	-0.411953119
hsa-miR-4433b-5p	13-HODE	-0.449248128
hsa-miR-485-5p	13-HODE	-0.624322925
hsa-miR-502-3p	13-HODE	0.341057066
hsa-miR-126-3p	15-HETE	0.40802306
hsa-miR-142-5p	15-HETE	0.295558438
hsa-miR-143-3p	15-HETE	0.222739985
hsa-miR-145-3p	15-HETE	0.520306171
hsa-miR-146a-5p	15-HETE	0.174332707
hsa-miR-146b-5p	15-HETE	0.125826055
hsa-miR-15b-5p	15-HETE	0.650310114
hsa-miR-16-2-3p	15-HETE	0.593736807
hsa-miR-16-5p	15-HETE	0.528288298
hsa-miR-181c-3p	15-HETE	0.637739742
hsa-miR-181c-5p	15-HETE	0.832693639
hsa-miR-182-5p	15-HETE	0.499544888
hsa-miR-1843	15-HETE	0.930796567
hsa-miR-186-5p	15-HETE	0.352602815
hsa-miR-199a-3pXhsa-miR-199b-3p	15-HETE	0.658504671
hsa-miR-199a-5p	15-HETE	0.558426246
hsa-miR-19a-3p	15-HETE	0.902970189
hsa-miR-21-3p	15-HETE	0.695614608
hsa-miR-214-3p	15-HETE	0.589544512
hsa-miR-215-5p	15-HETE	0.639173137
hsa-miR-223-5p	15-HETE	1.313250487
hsa-miR-24-3p	15-HETE	0.223636187
hsa-miR-27a-5p	15-HETE	0.529934019
hsa-miR-27b-3p	15-HETE	0.162496265
hsa-miR-28-5p	15-HETE	0.613122416
hsa-miR-29a-3p	15-HETE	0.434098027
hsa-miR-29c-3p	15-HETE	0.861047668
hsa-miR-30e-5p	15-HETE	0.348180067
hsa-let-7f-5p	levulinate	0.020667658
hsa-miR-32-5p	15-HETE	0.802115686
hsa-miR-330-3p	15-HETE	0.706214557
hsa-miR-338-5p	15-HETE	0.599931015
hsa-miR-339-5p	15-HETE	0.809108323
hsa-miR-345-5p	15-HETE	0.959638138
hsa-miR-361-5p	15-HETE	0.603125747
hsa-miR-363-3p	15-HETE	0.447809599
hsa-miR-370-3p	15-HETE	0.681520799
hsa-miR-371b-5p	15-HETE	0.701194039
hsa-miR-374a-5p	15-HETE	0.985388327
hsa-miR-421	15-HETE	1.060951298
hsa-miR-423-5p	15-HETE	-0.366343637
hsa-miR-424-3p	15-HETE	0.825821815
hsa-miR-425-3p	15-HETE	0.701327293
hsa-miR-450b-5p	15-HETE	0.85618159
hsa-miR-454-5p	15-HETE	0.958419576
hsa-miR-486-5p	15-HETE	-0.263114317
hsa-miR-493-3p	15-HETE	0.75464269
hsa-miR-501-3p	15-HETE	-0.26466856
hsa-miR-550a-3-5p	15-HETE	0.595762512
hsa-miR-576-5p	15-HETE	0.532791236
hsa-miR-628-3p	15-HETE	0.745728486
hsa-miR-664a-5p	15-HETE	0.729148114
hsa-miR-744-5p	15-HETE	0.676620057
hsa-miR-92a-3p	15-HETE	-0.15013333
hsa-miR-93-3p	15-HETE	0.796101254
hsa-miR-941	15-HETE	0.73740887
hsa-miR-95-3p	15-HETE	1.011712607
hsa-miR-99b-5p	15-HETE	-0.326153694
hsa-let-7d-5p	16-hydroxypalmitate	-0.48232759
hsa-miR-126-3p	16-hydroxypalmitate	-0.508910541
hsa-miR-126-5p	16-hydroxypalmitate	-0.483563267
hsa-miR-134-5p	16-hydroxypalmitate	-0.713225218
hsa-miR-15b-5p	16-hydroxypalmitate	-0.756556937
hsa-miR-181a-3p	16-hydroxypalmitate	-0.384878397
hsa-miR-199a-3pXhsa-miR-199b-3p	16-hydroxypalmitate	-0.4921947
hsa-miR-199a-5p	16-hydroxypalmitate	-0.480527198
hsa-miR-222-3p	16-hydroxypalmitate	-0.465032083
hsa-miR-224-5p	16-hydroxypalmitate	-0.883682479
hsa-miR-23a-3p	16-hydroxypalmitate	-0.386699851
hsa-miR-23b-3p	16-hydroxypalmitate	-0.658603719
hsa-miR-26a-5p	16-hydroxypalmitate	-0.143035723
hsa-miR-30c-5p	16-hydroxypalmitate	-0.750141351
hsa-miR-323b-3p	16-hydroxypalmitate	-0.887240184
hsa-miR-335-5p	16-hydroxypalmitate	-0.590956844
hsa-miR-340-3p	16-hydroxypalmitate	-0.905517774
hsa-miR-3605-5p	16-hydroxypalmitate	-0.433507931
hsa-miR-370-3p	16-hydroxypalmitate	-0.712311884
hsa-miR-409-3p	16-hydroxypalmitate	-0.55058767
hsa-miR-409-5p	16-hydroxypalmitate	-0.7981412
